"","Experiment","Condition","Pair","Block","TrialN","Animal","Number","Movement","Description","Participant","ParticipantID","Score","WordOrder","Marked"
"1","Experiment1","66-33",60,"Training",1,3,1,2,"boingla hoppo pag","P1","60P1",NA,"VNP",TRUE
"2","Experiment1","66-33",60,"Training",1,2,1,1,"wooshla trunko","P2","60P2",NA,"VN",FALSE
"3","Experiment1","66-33",60,"Training",2,3,1,1,"wooshla hoppo pag","P1","60P1",NA,"VNP",TRUE
"4","Experiment1","66-33",60,"Training",2,5,1,2,"boingla oinko","P2","60P2",NA,"VN",FALSE
"5","Experiment1","66-33",60,"Training",3,6,1,2,"boingla fino","P1","60P1",NA,"VN",FALSE
"6","Experiment1","66-33",60,"Training",3,1,1,2,"boingla beeko","P2","60P2",NA,"VN",FALSE
"7","Experiment1","66-33",60,"Training",4,6,2,1,"wooshla fino yav","P1","60P1",NA,"VNP",TRUE
"8","Experiment1","66-33",60,"Training",4,5,2,1,"wooshla oinko yav","P2","60P2",NA,"VNP",TRUE
"9","Experiment1","66-33",60,"Training",5,2,1,1,"wooshla trunko","P1","60P1",NA,"VN",FALSE
"10","Experiment1","66-33",60,"Training",5,2,1,2,"boingla trunko","P2","60P2",NA,"VN",FALSE
"11","Experiment1","66-33",60,"Training",6,4,2,1,"wooshla bugo yav","P1","60P1",NA,"VNP",TRUE
"12","Experiment1","66-33",60,"Training",6,1,2,2,"boingla beeko yav","P2","60P2",NA,"VNP",TRUE
"13","Experiment1","66-33",60,"Training",7,5,1,1,"wooshla oinko","P1","60P1",NA,"VN",FALSE
"14","Experiment1","66-33",60,"Training",7,3,2,1,"wooshla hoppo yav","P2","60P2",NA,"VNP",TRUE
"15","Experiment1","66-33",60,"Training",8,4,2,2,"boingla bugo yav","P1","60P1",NA,"VNP",TRUE
"16","Experiment1","66-33",60,"Training",8,6,1,2,"boingla fino pag","P2","60P2",NA,"VNP",TRUE
"17","Experiment1","66-33",60,"Training",9,1,2,1,"wooshla beeko yav","P1","60P1",NA,"VNP",TRUE
"18","Experiment1","66-33",60,"Training",9,4,1,2,"boingla bugo","P2","60P2",NA,"VN",FALSE
"19","Experiment1","66-33",60,"Training",10,2,2,1,"wooshla trunko yav","P1","60P1",NA,"VNP",TRUE
"20","Experiment1","66-33",60,"Training",10,1,2,1,"wooshla beeko yav","P2","60P2",NA,"VNP",TRUE
"21","Experiment1","66-33",60,"Training",11,1,2,2,"boingla beeko yav","P1","60P1",NA,"VNP",TRUE
"22","Experiment1","66-33",60,"Training",11,5,1,1,"wooshla oinko","P2","60P2",NA,"VN",FALSE
"23","Experiment1","66-33",60,"Training",12,3,2,2,"boingla hoppo yav","P1","60P1",NA,"VNP",TRUE
"24","Experiment1","66-33",60,"Training",12,3,1,2,"boingla hoppo pag","P2","60P2",NA,"VNP",TRUE
"25","Experiment1","66-33",60,"Training",13,4,1,2,"boingla bugo pag","P1","60P1",NA,"VNP",TRUE
